ein_fk,ein_pk,ntee_irs_code,ntee_nccs_code,ntee_modern_code,nccs_level_1_category,nccs_level_2_category,nccs_level_3_category,total_revenue,total_income,total_assets,city,state,zipcode,street_address,census_cbsa_fips_code,census_cbsa_name,census_block_fips_code,census_urban_area,census_state_abbreviation,census_county_name,address_full,address_matched,latitude,longitude,geocoder_confidence_score,geocoder_match_type,bmf_subsection_code,bmf_status_code,bmf_private_foundation_filing_required,bmf_organization_code,bmf_income_code,bmf_group_exemption_number,bmf_foundation_code,bmf_filing_requirement_code,bmf_deductibility_code,bmf_classification_code,bmf_asset_code,bmf_affiliation_code,organization_ruling_date,organization_fiscal_year,organization_ruling_year,organization_first_year,organization_last_year,organization_year_count,organization_personal_ico,org_name_secondary,org_name,organization_fiscal_period
,000000000,Z99,,,501CX NONPROFIT,O,UN,,0.0,0.0,,,,,,,,,,,",,",,0,0,0.0,U,,,,,,,,,,,,,,,,1996-01-01,1996-01-01,,,,,6
,000000001,B43,B43,UNI-B43-RG,501C3 CHARITY,O,ED,,0.0,0.0,LOUISVILLE,KY,63130,570 SOUTH FOURTH STREET NO 100,31140,"Louisville/Jefferson County, KY-IN",211110049002000,U,KY,,"570 SOUTH FOURTH STREET NO 100,LOUISVILLE,KY,63130","570 S 4th St, #100, Louisville, Kentucky, 40202",38.2491390380287,-85.7578707324714,99.76,M,3,,,,,,0,10,,,,,,,,2017-01-01,2017-01-01,,,VOAKY HOPEFUL ROAD INC,VOLUNTEERS OF AMERICA INC,6
,000000004,B90,B90,EDU-B90-RG,501C3 CHARITY,O,ED,,0.0,0.0,COLUMBUS,OH,43216,,18140,"Columbus, OH",390490085005018,U,OH,,"COLUMBUS,OH,43216","43216, Columbus, Ohio",39.9683267,-83.0246108,100.0,M,3,,,,,,15,,,,,,1997-04-01,2001-01-01,1997-01-01,1999-01-01,2001-01-01,,,,SCRIPT INC,4
,000000005,A50,A50,ART-A50-RG,501C3 CHARITY,O,AR,,0.0,0.0,JEKYLL ISLAND,GA,31527,,15260,"Brunswick, GA",131270010011021,R,GA,,"JEKYLL ISLAND,GA,31527","31527, Jekyll Island, Georgia",31.0727600000001,-81.4054849999999,100.0,M,3,,,,,,16,,,,,,1986-03-01,2004-01-01,1986-01-01,1999-01-01,2004-01-01,,,,JEKYLL ISLAND MUSEUM ASSOCIATES INC,3
,000003154,C36,C36,ENV-C36-RG,501C3 CHARITY,O,EN,,0.0,0.0,NORFOLK,VA,23523,1706 GREENLEAF DR,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",517100051004006,U,VA,,"1706 GREENLEAF DR,NORFOLK,VA,23523","1706 Green Leaf Dr, Norfolk, Virginia, 23523",36.8262443094525,-76.2602544939118,99.0,M,3,,,,,0.0,15,20,,,,,2014-09-01,2017-01-01,2014-01-01,2014-01-01,2017-01-01,,,,OAKLEAF FOREST TENANT MANAGEMENT,9
,000004101,N65,N65,HMS-N65-RG,501C3 PRIVATE FOUNDATION,S,HS,,,,LOCKPORT,LA,70374-4284,167 BENT CYPRESS LN,26380,"Houma-Thibodaux, LA",220570216021067,R,LA,,"167 BENT CYPRESS LN,LOCKPORT,LA,70374-4284","167 Bent Cypress Ln, Lockport, Louisiana, 70374",29.5854356558657,-90.4434741939231,100.0,M,3,1,1,1,0.0,0.0,4,0,1,1000,0,3,2020-05-01,2023-01-01,2020-01-01,2022-01-01,2023-01-01,,,,SOUTH LAFOURCHE QUARTERBACK CLUB,5
,000004882,N63,N63,HMS-N63-RG,501C3 CHARITY,O,HS,,0.0,0.0,SOLISBURG,MD,21804,,41540,"Salisbury, MD-DE",240450005003010,U,MD,,"SOLISBURG,MD,21804","21804, Salisbury, Maryland",38.3541500000001,-75.592485,97.18,M,3,,,,,,15,,,,,,1967-01-01,2004-01-01,1967-01-01,1989-01-01,2004-01-01,,,2200804 FRUITLAND LITTLE LEAGUE,LITTLE LEAGUE BASEBALL INC,1
,000009345,G81,G81,HEL-G81-RG,501C3 PRIVATE FOUNDATION,O,HE,,0.0,0.0,CAPTIAN COOK,HI,96704,,25900,"Hilo, HI",150010214022000,R,HI,,"CAPTIAN COOK,HI,96704","96704, Captain Cook, Hawaii",19.4901731000001,-155.9123064,97.79,M,3,,,,,,4,,,,,,2000-04-01,2006-01-01,2000-01-01,2001-01-01,2006-01-01,,,,SHAWKA SOCIETY OF HAWAIIS AWARE WOMEN KOMBATTING AIDS,4
,000019818,X21,X21,REL-X21-RG,501C3 CHARITY,O,RE,,0.0,0.0,PALMER,MA,01069-1507,1050 THORNDIKE ST,44140,"Springfield, MA",250138101003017,U,MA,,"1050 THORNDIKE ST,PALMER,MA,01069-1507","1050 Thorndike Street, Palmer, Massachusetts, 01069",42.159933,-72.329229,100.0,M,3,1,0,5,0.0,3125.0,10,6,1,7000,0,9,1955-04-01,2024-01-01,1955-01-01,2001-01-01,2024-01-01,,,3514,PALMER SECOND BAPTIST CHURCH,4
,000020587,B03,B03,EDU-B00-PA,501C3 CHARITY,O,ED,,0.0,0.0,HARTVILLE,MO,65667,,,,292294902004055,R,MO,,"HARTVILLE,MO,65667","65667, Hartville, Missouri",37.2502451,-92.5120225,100.0,M,3,,,,,,16,,,,,,1965-05-01,2008-01-01,1965-01-01,1989-01-01,2008-01-01,,,TRI COUNTY COUNCIL,INTERNATIONAL READING ASSOCIATION INC,5
