EIN2,CENSUS_CSA_FIPS,CENSUS_CBSA_FIPS,CENSUS_CBSA_NAME,CENSUS_CBSA_LEGAL_NAME,CENSUS_CBSA_LEGAL_CODE,geometry,CENSUS_BLOCK_CODE,CENSUS_BLOCK_FIPS,CENSUS_BLOCK_NAME,CENSUS_URBAN_AREA,CENSUS_URBAN_AREA_CODE,CENSUS_URBAN_AREA_TYPE,CENSUS_FUNCTIONAL_STATUS,CENSUS_BLOCK_HOUSING_UNIT_COUNT,CENSUS_BLOCK_POPULATION_COUNT,CENSUS_STATE_FIPS,CENSUS_COUNTY_FIPS,CENSUS_TRACT_CODE,CENSUS_TRACT_FIPS,CENSUS_TRACT_NAME,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,CENSUS_STATE_NAME,ORG_FISCAL_YEAR,ORG_ADDR_FULL,ORG_ADDR_MATCH,LONGITUDE,LATITUDE,ADDR_TYPE,GEOCODER_SCORE,GEOCODER_MATCH,METADATA_VERSION,METADATA_RELEASE_DATE
EIN-00-2079091,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.7137786|41.0347704000001,3000.0,361190086023000.0,Block 3000,U,10162.0,U,S,2.0,88.0,36.0,119.0,8602.0,36119008602.0,Census Tract 86.02,NY,Westchester County,New York,1989,"PURCHASE,NY,10577-0000","10577, PURCHASE, NEW YORK",-73.7137786,41.0347704000001,Postal,100.0,M,0.0,2024-06-24
EIN-00-2113175,184.0,17460.0,"Cleveland-Elyria, OH","Cleveland-Elyria, OH Metro Area",M1,-81.2430405|41.726709,1011.0,390852045001011.0,Block 1011,U,17668.0,U,S,0.0,0.0,39.0,85.0,204500.0,39085204500.0,Census Tract 2045,OH,Lake County,Ohio,1989,"PAINESVILLE,OH,44077-3995","44077-3995, PAINESVILLE, OHIO",-81.2430405,41.726709,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2124668,515.0,21140.0,"Elkhart-Goshen, IN","Elkhart-Goshen, IN Metro Area",M1,-85.827515|41.5755446000001,1049.0,180390001001049.0,Block 1049,U,26794.0,U,S,17.0,38.0,18.0,39.0,400.0,18039000400.0,Census Tract 4,IN,Elkhart County,Indiana,1989,"GOSHEN,IN,46526-0027","46526, GOSHEN, INDIANA",-85.827515,41.5755446000001,Postal,100.0,M,0.0,2024-06-24
EIN-00-2124682,515.0,47700.0,"Warsaw, IN","Warsaw, IN Micro Area",M2,-85.8579599999999|41.2377950000001,2036.0,180859619002036.0,Block 2036,U,91999.0,U,S,9.0,19.0,18.0,85.0,961900.0,18085961900.0,Census Tract 9619,IN,Kosciusko County,Indiana,1989,"WARSAW,IN,46580-0000","46580, WARSAW, INDIANA",-85.8579599999999,41.2377950000001,Postal,100.0,M,0.0,2024-06-24
EIN-00-2124723,258.0,23060.0,"Fort Wayne, IN","Fort Wayne, IN Metro Area",M1,-85.1399415|41.079321,1016.0,180030012001016.0,Block 1016,U,31087.0,U,S,0.0,0.0,18.0,3.0,1200.0,18003001200.0,Census Tract 12,IN,Allen County,Indiana,1989,"FORT WAYNE,IN,46802-2311","46802-2311, FORT WAYNE, INDIANA",-85.1399415,41.079321,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2124729,258.0,23060.0,"Fort Wayne, IN","Fort Wayne, IN Metro Area",M1,-85.1399415|41.079321,1016.0,180030012001016.0,Block 1016,U,31087.0,U,S,0.0,0.0,18.0,3.0,1200.0,18003001200.0,Census Tract 12,IN,Allen County,Indiana,1989,"FT WAYNE,IN,46802-2311","46802-2311, FORT WAYNE, INDIANA",-85.1399415,41.079321,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2124765,370.0,33100.0,"Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",M1,-80.0774|26.4615700000001,1003.0,120990068021003.0,Block 1003,U,56602.0,U,S,11.0,30.0,12.0,99.0,6802.0,12099006802.0,Census Tract 68.02,FL,Palm Beach County,Florida,1989,"DELRAY BEACH,FL,33444-0000","33444, DELRAY BEACH, FLORIDA",-80.0774,26.4615700000001,Postal,100.0,M,0.0,2024-06-24
EIN-00-2124783,,21780.0,"Evansville, IN-KY","Evansville, IN-KY Metro Area",M1,-87.5674205|37.9746561000001,1030.0,181630018001030.0,Block 1030,U,28333.0,U,S,0.0,0.0,18.0,163.0,1800.0,18163001800.0,Census Tract 18,IN,Vanderburgh County,Indiana,1989,"EVANSVILLE,IN,47704-0000","47704, EVANSVILLE, INDIANA",-87.5674205,37.9746561000001,Postal,100.0,M,0.0,2024-06-24
EIN-00-2124785,294.0,35220.0,"New Castle, IN","New Castle, IN Micro Area",M2,-85.369572|39.93129,2014.0,180659760002014.0,Block 2014,U,62137.0,U,S,1.0,4.0,18.0,65.0,976000.0,18065976000.0,Census Tract 9760,IN,Henry County,Indiana,1989,"NEW CASTLE,IN,47362-4203","47362-4203, NEW CASTLE, INDIANA",-85.369572,39.93129,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2124948,515.0,43780.0,"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI Metro Area",M1,-86.252058|41.67567,1026.0,181410017001026.0,Block 1026,U,83116.0,U,S,0.0,0.0,18.0,141.0,1700.0,18141001700.0,Census Tract 17,IN,St. Joseph County,Indiana,1989,"SOUTH BEND,IN,46601-1804","46601-1804, SOUTH BEND, INDIANA",-86.252058,41.67567,PostalExt,100.0,M,0.0,2024-06-24
