EIN2,CENSUS_CSA_FIPS,CENSUS_CBSA_FIPS,CENSUS_CBSA_NAME,CENSUS_CBSA_LEGAL_NAME,CENSUS_CBSA_LEGAL_CODE,geometry,CENSUS_BLOCK_CODE,CENSUS_BLOCK_FIPS,CENSUS_BLOCK_NAME,CENSUS_URBAN_AREA,CENSUS_URBAN_AREA_CODE,CENSUS_URBAN_AREA_TYPE,CENSUS_FUNCTIONAL_STATUS,CENSUS_BLOCK_HOUSING_UNIT_COUNT,CENSUS_BLOCK_POPULATION_COUNT,CENSUS_STATE_FIPS,CENSUS_COUNTY_FIPS,CENSUS_TRACT_CODE,CENSUS_TRACT_FIPS,CENSUS_TRACT_NAME,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,CENSUS_STATE_NAME,ORG_FISCAL_YEAR,ORG_ADDR_FULL,ORG_ADDR_MATCH,LONGITDUE,LATITUDE,ADDR_TYPE,GEOCODER_SCORE,GEOCODER_MATCH
EIN-00-0000000,,,,,,0|0,,,,,,,,,,,,,,,,,,1996,",,",,0,0,,0,U
EIN-00-0000001,350,31140,"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN Metro Area",M1,-85.7578707324714|38.2491390380287,2000,211110049002000,Block 2000,U,51755,U,S,43,24,21,111,4900,21111004900,Census Tract 49,KY,Jefferson County,Kentucky,2017,"570 SOUTH FOURTH STREET NO 100,LOUISVILLE,KY,63130","570 S 4th St, #100, Louisville, Kentucky, 40202",-85.7578707324714,38.2491390380287,Subaddress,99.76,M
EIN-00-0000004,198,18140,"Columbus, OH","Columbus, OH Metro Area",M1,-83.0246108|39.9683267,5018,390490085005018,Block 5018,U,19234,U,S,0,0,39,49,8500,39049008500,Census Tract 85,OH,Franklin County,Ohio,2001,"COLUMBUS,OH,43216","43216, Columbus, Ohio",-83.0246108,39.9683267,Postal,100,M
EIN-00-0000005,,15260,"Brunswick, GA","Brunswick, GA Metro Area",M1,-81.4054849999999|31.0727600000001,1021,131270010011021,Block1021,R,,,S,25,28,13,127,1001,13127001001,Census Tract 10.01,GA,Glynn County,Georgia,2004,"JEKYLL ISLAND,GA,31527","31527, Jekyll Island, Georgia",-81.4054849999999,31.0727600000001,Postal,100,M
EIN-00-0003154,545,47260,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",M1,-76.2602544939118|36.8262443094525,4006,517100051004006,Block 4006,U,90892,U,S,15,58,51,710,5100,51710005100,Census Tract 51,VA,Norfolk city,Virginia,2017,"1706 GREENLEAF DR,NORFOLK,VA,23523","1706 Green Leaf Dr, Norfolk, Virginia, 23523",-76.2602544939118,36.8262443094525,PointAddress,99,M
EIN-00-0004101,,26380,"Houma-Thibodaux, LA","Houma-Thibodaux, LA Metro Area",M1,-90.4434741939231|29.5854356558657,1067,220570216021067,Block1067,R,,,S,44,92,22,57,21602,22057021602,Census Tract 216.02,LA,Lafourche Parish,Louisiana,2023,"167 BENT CYPRESS LN,LOCKPORT,LA,70374-4284","167 Bent Cypress Ln, Lockport, Louisiana, 70374",-90.4434741939231,29.5854356558657,PointAddress,100,M
EIN-00-0004882,480,41540,"Salisbury, MD-DE","Salisbury, MD-DE Metro Area",M1,-75.592485|38.3541500000001,3010,240450005003010,Block 3010,U,78364,U,S,50,122,24,45,500,24045000500,Census Tract 5,MD,Wicomico County,Maryland,2004,"SOLISBURG,MD,21804","21804, Salisbury, Maryland",-75.592485,38.3541500000001,Postal,97.18,M
EIN-00-0009345,,25900,"Hilo, HI","Hilo, HI Micro Area",M2,-155.912301591579|19.4901776348638,2000,150010214022000,Block 2000,R,,,S,69,194,15,1,21402,15001021402,Census Tract 214.02,HI,Hawaii County,Hawaii,2006,"CAPTIAN COOK,HI,96704","96704, Captain Cook, Hawaii",-155.9123064,19.4901731000001,Postal,97.79,M
EIN-00-0019818,,44140,"Springfield, MA","Springfield, MA Metro Area",M1,-72.329229|42.159933,3017,250138101003017,Block 3017,U,83926,U,S,24,57,25,13,810100,25013810100,Census Tract 8101,MA,Hampden County,Massachusetts,2024,"1050 THORNDIKE ST,PALMER,MA,01069-1507","1050 Thorndike Street, Palmer, Massachusetts, 01069",-72.329229,42.159933,PointAddress,100,M
EIN-00-0020587,,,,,,-92.5120225|37.2502451,4055,292294902004055,Block 4055,R,,,S,18,33,29,229,490200,29229490200,Census Tract 4902,MO,Wright County,Missouri,2008,"HARTVILLE,MO,65667","65667, Hartville, Missouri",-92.5120225,37.2502451,Postal,100,M
EIN-00-0029215,148,14460,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",M1,-71.0435205|42.335127,1000,250250604001000,Block 1000,U,9271,U,S,62,129,25,25,60400,25025060400,Census Tract 604,MA,Suffolk County,Massachusetts,2024,"523 E BROADWAY,SOUTH BOSTON,MA,02127-4415","523 East Broadway, South Boston, Massachusetts, 02127",-71.0435205,42.335127,PointAddress,100,M
EIN-00-0038065,440,38900,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA Metro Area",M1,-122.63984|45.529235,1009,410510020021009,Block 1009,U,71317,U,S,0,0,41,51,2002,41051002002,Census Tract 20.02,OR,Multnomah County,Oregon,2007,"PORTLAND,OR,97232","97232, Portland, Oregon",-122.63984,45.529235,Postal,100,M
EIN-00-0065837,184,35940,"Norwalk, OH","Norwalk, OH Micro Area",M2,-82.399761|41.264631,1005,390779154001005,Block 1005,R,,,S,32,61,39,77,915400,39077915400,Census Tract 9154,OH,Huron County,Ohio,2015,"4655 STATE ROUTE 60,WAKEMAN,OH,44889","4655 State Route 60, Wakeman, Ohio, 44889",-82.399761,41.264631,PointAddress,100,M
EIN-00-0071212,148,49340,"Worcester, MA-CT","Worcester, MA-CT Metro Area",M1,-71.9171685|42.243048,4006,250277351004006,Block 4006,U,97291,U,S,59,122,25,27,735100,25027735100,Census Tract 7351,MA,Worcester County,Massachusetts,1989,"LEICESTER,MA,01524-2005","01524-2005, Leicester, Massachusetts",-71.9171685,42.243048,PostalExt,100,M
