EIN2,EIN,NTEE_IRS,NTEE_NCCS,NTEEV2,NCCS_LEVEL_1,NCCS_LEVEL_2,NCCS_LEVEL_3,F990_TOTAL_REVENUE_RECENT,F990_TOTAL_INCOME_RECENT,F990_TOTAL_ASSETS_RECENT,F990_ORG_ADDR_CITY,F990_ORG_ADDR_STATE,F990_ORG_ADDR_ZIP,F990_ORG_ADDR_STREET,CENSUS_CBSA_FIPS,CENSUS_CBSA_NAME,CENSUS_BLOCK_FIPS,CENSUS_URBAN_AREA,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,ORG_ADDR_FULL,ORG_ADDR_MATCH,LATITUDE,LONGITUDE,GEOCODER_SCORE,GEOCODER_MATCH,BMF_SUBSECTION_CODE,BMF_STATUS_CODE,BMF_PF_FILING_REQ_CODE,BMF_ORGANIZATION_CODE,BMF_INCOME_CODE,BMF_GROUP_EXEMPT_NUM,BMF_FOUNDATION_CODE,BMF_FILING_REQ_CODE,BMF_DEDUCTIBILITY_CODE,BMF_CLASSIFICATION_CODE,BMF_ASSET_CODE,BMF_AFFILIATION_CODE,ORG_RULING_DATE,ORG_FISCAL_YEAR,ORG_RULING_YEAR,ORG_YEAR_FIRST,ORG_YEAR_LAST,ORG_YEAR_COUNT,ORG_PERS_ICO,ORG_NAME_SEC,ORG_NAME_CURRENT,ORG_FISCAL_PERIOD
EIN-00-0000000,0,Z99,,,501CX NONPROFIT,O,UN,,0,0,,,,,,,,,,,",,",,0,0,0,U,,,,,,,,,,,,,,,,1996,1996,1,,,,6
EIN-00-0000001,1,B43,B43,UNI-B43-RG,501C3 CHARITY,O,ED,,0,0,LOUISVILLE,KY,63130,570 SOUTH FOURTH STREET NO 100,31140,"Louisville/Jefferson County, KY-IN",211110049002000,U,KY,Jefferson County,"570 SOUTH FOURTH STREET NO 100,LOUISVILLE,KY,63130","570 S 4th St, #100, Louisville, Kentucky, 40202",38.2491390380287,-85.7578707324714,99.76,M,3,,,,,,0,10,,,,,,,,2017,2017,1,,VOAKY HOPEFUL ROAD INC,VOLUNTEERS OF AMERICA INC,6
EIN-00-0000004,4,B90,B90,EDU-B90-RG,501C3 CHARITY,O,ED,,0,0,COLUMBUS,OH,43216,,18140,"Columbus, OH",390490085005018,U,OH,Franklin County,"COLUMBUS,OH,43216","43216, Columbus, Ohio",39.9683267,-83.0246108,100,M,3,,,,,,15,,,,,,1997-04,2001,1997,1999,2001,3,,,SCRIPT INC,4
EIN-00-0000005,5,A50,A50,ART-A50-RG,501C3 CHARITY,O,AR,,0,0,JEKYLL ISLAND,GA,31527,,15260,"Brunswick, GA",131270010011021,R,GA,Glynn County,"JEKYLL ISLAND,GA,31527","31527, Jekyll Island, Georgia",31.0727600000001,-81.4054849999999,100,M,3,,,,,,16,,,,,,1986-03,2004,1986,1999,2004,6,,,JEKYLL ISLAND MUSEUM ASSOCIATES INC,3
EIN-00-0003154,3154,C36,C36,ENV-C36-RG,501C3 CHARITY,O,EN,,0,0,NORFOLK,VA,23523,1706 GREENLEAF DR,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",517100051004006,U,VA,Norfolk city,"1706 GREENLEAF DR,NORFOLK,VA,23523","1706 Green Leaf Dr, Norfolk, Virginia, 23523",36.8262443094525,-76.2602544939118,99,M,3,,,,,0,15,20,,,,,2014-09,2017,2014,2014,2017,4,,,OAKLEAF FOREST TENANT MANAGEMENT,9
EIN-00-0004101,4101,N65,N65,HMS-N65-RG,501C3 PRIVATE FOUNDATION,S,HS,,,,LOCKPORT,LA,70374-4284,167 BENT CYPRESS LN,26380,"Houma-Thibodaux, LA",220570216021067,R,LA,Lafourche Parish,"167 BENT CYPRESS LN,LOCKPORT,LA,70374-4284","167 Bent Cypress Ln, Lockport, Louisiana, 70374",29.5854356558657,-90.4434741939231,100,M,3,1,1,1,0,0,4,0,1,1000,0,3,2020-05,2023,2020,2022,2023,2,,,SOUTH LAFOURCHE QUARTERBACK CLUB,5
EIN-00-0004882,4882,N63,N63,HMS-N63-RG,501C3 CHARITY,O,HS,,0,0,SOLISBURG,MD,21804,,41540,"Salisbury, MD-DE",240450005003010,U,MD,Wicomico County,"SOLISBURG,MD,21804","21804, Salisbury, Maryland",38.3541500000001,-75.592485,97.18,M,3,,,,,,15,,,,,,1967-01,2004,1967,1989,2004,16,,2200804 FRUITLAND LITTLE LEAGUE,LITTLE LEAGUE BASEBALL INC,1
EIN-00-0009345,9345,G81,G81,HEL-G81-RG,501C3 PRIVATE FOUNDATION,O,HE,,0,0,CAPTIAN COOK,HI,96704,,25900,"Hilo, HI",150010214022000,R,HI,Hawaii County,"CAPTIAN COOK,HI,96704","96704, Captain Cook, Hawaii",19.4901731000001,-155.9123064,97.79,M,3,,,,,,4,,,,,,2000-04,2006,2000,2001,2006,6,,,SHAWKA SOCIETY OF HAWAIIS AWARE WOMEN KOMBATTING AIDS,4
EIN-00-0019818,19818,X21,X21,REL-X21-RG,501C3 CHARITY,O,RE,,0,0,PALMER,MA,01069-1507,1050 THORNDIKE ST,44140,"Springfield, MA",250138101003017,U,MA,Hampden County,"1050 THORNDIKE ST,PALMER,MA,01069-1507","1050 Thorndike Street, Palmer, Massachusetts, 01069",42.159933,-72.329229,100,M,3,1,0,5,0,3125,10,6,1,7000,0,9,1955-04,2024,1955,2001,2024,24,,3514,PALMER SECOND BAPTIST CHURCH,4
EIN-00-0020587,20587,B03,B03,EDU-B00-PA,501C3 CHARITY,O,ED,,0,0,HARTVILLE,MO,65667,,,,292294902004055,R,MO,Wright County,"HARTVILLE,MO,65667","65667, Hartville, Missouri",37.2502451,-92.5120225,100,M,3,,,,,,16,,,,,,1965-05,2008,1965,1989,2008,20,,TRI COUNTY COUNCIL,INTERNATIONAL READING ASSOCIATION INC,5
